Ticker,Name,Sector,Location,Currency,Exchange
AAPL,APPLE INC,Information Technology,United States,USD,NASDAQ
NVDA,NVIDIA CORP,Information Technology,United States,USD,NASDAQ
MSFT,MICROSOFT CORP,Information Technology,United States,USD,NASDAQ
AMZN,AMAZON COM INC,Consumer Discretionary,United States,USD,NASDAQ
META,META PLATFORMS INC CLASS A,Communication,United States,USD,NASDAQ
TSLA,TESLA INC,Consumer Discretionary,United States,USD,NASDAQ
GOOGL,ALPHABET INC CLASS A,Communication,United States,USD,NASDAQ
AVGO,BROADCOM INC,Information Technology,United States,USD,NASDAQ
GOOG,ALPHABET INC CLASS C,Communication,United States,USD,NASDAQ
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Taiwan,USD,Taiwan Stock Exchange
JPM,JPMORGAN CHASE & CO,Financials,United States,USD,New York Stock Exchange Inc.
LLY,ELI LILLY,Health Care,United States,USD,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,United States,USD,New York Stock Exchange Inc.
V,VISA INC CLASS A,Financials,United States,USD,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Energy,United States,USD,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Health Care,United States,USD,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Financials,United States,USD,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Consumer Staples,United States,USD,NASDAQ
WMT,WALMART INC,Consumer Staples,United States,USD,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Consumer Staples,United States,USD,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Communication,United States,USD,NASDAQ
HD,HOME DEPOT INC,Consumer Discretionary,United States,USD,New York Stock Exchange Inc.
700,TENCENT HOLDINGS LTD,Communication,China,USD,Hong Kong Exchanges And Clearing Ltd
JNJ,JOHNSON & JOHNSON,Health Care,United States,USD,New York Stock Exchange Inc.
CRM,SALESFORCE INC,Information Technology,United States,USD,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Health Care,United States,USD,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Financials,United States,USD,New York Stock Exchange Inc.
ASML,ASML HOLDING NV,Information Technology,Netherlands,USD,Euronext Amsterdam
NOVO B,NOVO NORDISK CLASS B,Health Care,Denmark,USD,Omx Nordic Exchange Copenhagen A/S
ORCL,ORACLE CORP,Information Technology,United States,USD,New York Stock Exchange Inc.
SAP,SAP,Information Technology,Germany,USD,Xetra
KO,COCA-COLA,Consumer Staples,United States,USD,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Health Care,United States,USD,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Energy,United States,USD,New York Stock Exchange Inc.
WFC,WELLS FARGO,Financials,United States,USD,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Information Technology,United States,USD,NASDAQ
NOW,SERVICENOW INC,Information Technology,United States,USD,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Information Technology,United States,USD,New York Stock Exchange Inc.
NESN,NESTLE SA,Consumer Staples,Switzerland,USD,SIX Swiss Exchange
MCD,MCDONALDS CORP,Consumer Discretionary,United States,USD,New York Stock Exchange Inc.
PEP,PEPSICO INC,Consumer Staples,United States,USD,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,United States,USD,New York Stock Exchange Inc.
AMD,ADVANCED MICRO DEVICES INC,Information Technology,United States,USD,NASDAQ
LIN,LINDE PLC,Materials,United States,USD,NASDAQ
DIS,WALT DISNEY,Communication,United States,USD,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,United States,USD,New York Stock Exchange Inc.
AZN,ASTRAZENECA PLC,Health Care,United Kingdom,USD,London Stock Exchange
ABT,ABBOTT LABORATORIES,Health Care,United States,USD,New York Stock Exchange Inc.
ROG,ROCHE HOLDING PAR AG,Health Care,Switzerland,USD,SIX Swiss Exchange
ADBE,ADOBE INC,Information Technology,United States,USD,NASDAQ
NOVN,NOVARTIS AG,Health Care,Switzerland,USD,SIX Swiss Exchange
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,United States,USD,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Health Care,United States,USD,NASDAQ
SHEL,SHELL PLC,Energy,United Kingdom,USD,London Stock Exchange
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Japan,USD,Tokyo Stock Exchange
GE,GE AEROSPACE,Industrials,United States,USD,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Financials,United States,USD,New York Stock Exchange Inc.
INTU,INTUIT INC,Information Technology,United States,USD,NASDAQ
MC,LVMH,Consumer Discretionary,France,USD,Nyse Euronext - Euronext Paris
CAT,CATERPILLAR INC,Industrials,United States,USD,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Information Technology,United States,USD,NASDAQ
HSBA,HSBC HOLDINGS PLC,Financials,United Kingdom,USD,London Stock Exchange
5930,SAMSUNG ELECTRONICS LTD,Information Technology,Korea (South),USD,Korea Exchange (Stock Market)
AXP,AMERICAN EXPRESS,Financials,United States,USD,New York Stock Exchange Inc.
