iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","973,322,597.20","4.98","973,322,597.20","3,769,646.00","258.20","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","850,068,185.58","4.35","850,068,185.58","6,062,389.00","140.22","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","765,972,294.33","3.92","765,972,294.33","1,743,501.00","439.33","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","536,547,563.55","2.75","536,547,563.55","2,342,491.00","229.05","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","328,336,681.40","1.68","328,336,681.40","710,255.00","462.28","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","328,057,980.25","1.68","328,057,980.25","539,791.00","607.75","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","285,167,865.42","1.46","285,167,865.42","1,454,122.00","196.11","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","262,285,179.52","1.34","262,285,179.52","1,094,314.00","239.68","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","243,874,876.04","1.25","243,874,876.04","1,234,372.00","197.57","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","200,452,229.79","1.03","200,452,229.79","6,066,000.00","33.05","Taiwan","Taiwan Stock Exchange","USD","32.68","TWD","Nov 10, 1994"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","172,351,952.97","0.88","172,351,952.97","711,287.00","242.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","158,945,426.21","0.81","158,945,426.21","199,763.00","795.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","149,725,429.06","0.77","149,725,429.06","326,441.00","458.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","132,176,739.75","0.68","132,176,739.75","412,215.00","320.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","116,436,712.00","0.60","116,436,712.00","1,094,330.00","106.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","115,334,622.90","0.59","115,334,622.90","227,889.00","506.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","108,388,597.17","0.56","108,388,597.17","202,327.00","535.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","105,130,777.72","0.54","105,130,777.72","109,646.00","958.82","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","101,259,480.28","0.52","101,259,480.28","1,092,571.00","92.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
