,0,1,2,3,4,5,6
0,,,,"On-balance sheet financed emissions – wholesale credit lending and project finance1,2",,,
1,,,,,,"PCAF data quality score3,†",
2,Sector,Year,Scope 1–2 (Mt CO2e)†,Scope 3 (Mt CO2e)†,Emissions intensity4,Scope 1 and 2,Scope 3
3,,2021,2.1,18.4,N/A,2.8,2.9
4,Oil and gas,,,,,,
5,,2022,1.3,16.2,N/A,3.2,3.2
6,,2021,8.1,N/A,407.0,2.9,N/A
7,Power and utilities,,,,,,
8,,2022,7.6,N/A,401.7,3.3,N/A
9,,2021,2.2,N/A,0.70,2.8,N/A
10,Cement,,,,,,
11,,2022,4.5,N/A,0.71,2.9,N/A
12,,2021,2.0,N/A,2.4,3.0,N/A
13,"Iron, steel and aluminium",,,,,,
14,,2022,2.7,N/A,2.5,3.0,N/A
15,,2021,2.7,0.16,85.9,3.0,3.3
16,Aviation,,,,,,
17,,2022,2.6,0.15,86.5,3.3,2.4
18,,2021,0.07,3.6,215.7,2.8,2.9
19,Automotive,,,,,,
20,,2022,0.12,5.4,216.6,2.7,2.9
21,Thermal coal mining,2020,0.17,3.8,N/A,3.0,3.0
