,Emissions Category (mmt CO₂e),2019,2020,2021,YOY%
0,Emissions from Direct Operations (Scope 1),5.76,9.62,12.11,26%
1,Fossil fuels,5.57,9.37,11.89,27%
2,Refrigerants,0.19,0.25,0.22,-12%
3,Emissions from Purchased Electricity (Scope 2),5.50,5.27,4.07,-23%
4,Emissions from Indirect Sources (Scope 3),39.91,45.75,55.36,21%
5,"Corporate purchases and Amazon-branded product emissions (e.g., operating  expenses, business travel, and Amazon-branded product manufacturing, use  phase, and end-of-life)",15.41,16.70,19.09,14%
6,"Capital goods (e.g., building construction, servers and other hardware,  equipment, vehicles)",8.01,10.52,15.37,46%
7,"Other indirect emissions (e.g., third-party transportation, packaging, upstream  energy-related)",12.44,15.77,18.00,14%
8,Lifecycle emissions from customer trips to Amazon's physical stores,4.05,2.77,2.91,5%
9,Amazon's Total Footprint,51.17,60.64,71.54,18%
