,0,1,2,3,4,5,6
0,Carbon Intensity,2019,2020,2021,2022,2023,YoY%
1,Carbon Intensity (grams of CO 2 e per $ of gross merchandise sales),122.8,102.7,100.8,93.0,80.8,-13%
2,Emissions Category (MMT CO2e),,,,,,
3,Emissions from Direct Operations (Scope 1),5.76,9.62,12.11,13.32,14.27,7%
4,Fossil fuels,5.57,9.37,11.89,12.96,14.00,8%
5,Refrigerants,0.19,0.25,0.22,0.36,0.27,-25%
6,Emissions from Purchased Electricity (Scope 2)*,5.50,5.27,4.07,3.14,2.79,-11%
7,Emissions from Indirect Sources (Scope 3)*,39.91,45.75,55.36,54.28,51.76,-5%
8,"Corporate purchases and Amazon-branded product emissions (e.g., operating expenses, business travel, and   Amazon-branded product manufacturing, use phase, and end-of-life)",15.41,16.70,19.09,19.72,19.11,-3%
9,"Capital goods (e.g., building construction, servers and other hardware, equipment, vehicles)",8.01,10.52,15.37,10.25,8.95,-13%
10,"Other indirect emissions (e.g., third-party transportation, packaging, upstream energy-related)",12.44,15.77,18.00,20.90,20.07,-4%
11,Lifecycle emissions from customer trips to Amazon's physical stores,4.05,2.77,2.91,3.41,3.63,7%
12,Amazon's Carbon Footprint,51.17,60.64,71.54,70.74,68.82,-3%
