,0,1,2
0,Greenhouse Gas Protocol Aligned Scope 3 Categories,2022,2023
1,"Purchased Goods and Services (Amazon corporate purchases made for Amazon's operations and services, Amazon-branded products)",20.60,19.86
2,Capital Goods,10.25,8.95
3,Fuel- and Energy-Related Activities,4.76,4.97
4,Upstream Transportation and Distribution,10.65,9.30
5,Business Travel,0.61,0.63
6,Employee Commuting,2.78,2.88
7,Downstream Transportation and Distribution,3.41,3.63
8,Use of Sold Products (Amazon Devices),1.18,1.50
9,End-of-Life Treatment of Sold Products (Amazon Devices),0.04,0.04
