,,,2022,2021,2020,2019,2018
0,Corporate emissions,Gross emissions,"324,100","166,380","334,430","573,730","586,170"
1,(metric tons CO2e) 2,Scope 1,"55,200","55,200","47,430","52,730","57,440"
2,,"Natural gas, diesel, propane","39,700","40,070","39,340","40,910","42,840"
3,,Fleet vehicles,"12,600","12,090","4,270","6,950","11,110"
4,,Other emissions 3,"2,900","3,040","3,830","4,870","3,490"
5,,Scope 2 (market-based) 4,"3,000","2,780",0,0,"8,730"
6,,Electricity,0,0,0,0,"8,730"
7,,"Steam, heating, and cooling 5","3,000","2,780",0,0,0
8,,Scope 3,"265,800","108,400","287,000","521,000","520,000"
9,,Business travel,"113,500","22,850","153,000","326,000","337,000"
10,,Employee commute 6,"134,200","85,570","134,000","195,000","183,000"
11,,Upstream fuel,"10,600",0,0,0,0
12,,Work from home (market-based),"7, 5 0 0",0,0,0,0
13,,Transmission and distribution loss (market-based),0,N/A,N/A,N/A,N/A
14,,Third-party cloud (market-based),0,0,0,0,0
15,,Carbon removals,,,,,
16,,Corporate carbon offsets 7,"-324,100","-167,000 8","-70,000 9",0,0
17,Product life  cycle emissions  (metric tons CO2e) 10,Gross emissions (Scope 3),"20,280,000","23,020,000","22,260,000","24,460,000","24,550,000"
18,Product life  cycle emissions  (metric tons CO2e) 10,Manufacturing (purchased goods and services),"13,400,000","16,200,000","16,100,000","18,900,000","18,500,000"
19,Product life  cycle emissions  (metric tons CO2e) 10,Product transportation (upstream and downstream),"1,900,000","1,750,000","1,800,000","1,400,000","1,300,000"
20,,Product use (use of sold products),"4,900,000","4,990,000","4,300,000","4,100,000","4,700,000"
21,,End-of-life processing,"80,000","80,000","60,000","60,000","50,000"
22,Carbon removals,,,,,,
23,,Product carbon offsets,0,"-500,000 11",0,0,0
24,Total gross scope 3 emissions (corporate and product)   (metric tons CO2e),Total gross scope 3 emissions (corporate and product)   (metric tons CO2e),"20,550,000","23,128,400","22,547,000","24,980,000","25,070,000"
25,Total gross carbon footprint (without offsets)   (metric tons CO2e) 12,Total gross carbon footprint (without offsets)   (metric tons CO2e) 12,"20,600,000","23,200,000","22,600,000","25,100,000","25,200,000"
26,Total net carbon footprint (after applying offsets)   (metric tons CO2e) 12,Total net carbon footprint (after applying offsets)   (metric tons CO2e) 12,"20,300,000","22,530,000","22,530,000","25,100,000","25,200,000"
