,GRI 201: ECONOMIC PERFORMANCE  Disclosure,2022 Response (page number)
0,3-3 Management of material topics,About BCG (page 5)  Governance (page 11)
1,201-1 Direct economic value generated and distributed,Perfomance data tables (page 91)
2,201-2 Financial implications and other risks and opportu- nities due to climate change,TCFD index (page 89)  2022 CDP Disclosure
3,201-3 Defined benefit plan obligations and other retire- ment plans,Working at BCG (page 60)  Employee well-being (page 72)
4,201-4 Financial assistance received from government,Confidentiality constraints mean we are unable to report  all disclosures.
5,GRI 205: ANTI-CORRUPTION,
6,GRI 3-3 Management of material topics,Anti-bribery and corruption (page 76)  Materiality assessment (page 13)
7,205-1 Operations assessed for risks related to corruption,Global risk management (page 78)
8,GRI 205: ANTI-CORRUPTION,
9,205-2 Communication and training about anti-corruption  policies and procedures,Anti-bribery and corruption (page 76)  Perfomance data tables (page 91)  BCG Code of Conduct  BCG Supplier Code of Conduct
10,205-3 Confirmed incidents of corruption and actions  taken,Anti-bribery and corruption (page 76)  Perfomance data tables (page 91)  Confidentiality constraints mean we are unable to report  on all of the required disclosures.
11,GRI 305: EMISSIONS,
12,GRI 3-3 Management of material topics,Measuring our climate impact (page 48)  Materiality assessment (page 13)
13,305-1 Direct (Scope 1) GHG emissions,Measuring our climate impact (page 48)  Perfomance data tables (page 91)
14,305-2 Energy indirect (Scope 2) GHG emissions,Measuring our climate impact (page 48)  Perfomance data tables (page 91)
15,305-3 Other indirect (Scope 3) GHG emissions,Measuring our climate impact (page 48)  Perfomance data tables (page 91)
16,305-4 GHG emissions intensity,Measuring our climate impact (page 48)  Perfomance data tables (page 91)
