,"Year ended December 31,",2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Reduce our absolute emissions by 25% by 2030 against a 2015 baseline,,,,,,,,,7%
1,GHG Emissions 1,,,,,,,,,
2,"Direct, from manufacturing sites (metric tons) (in millions)",1.7,1.7,1.6,1.78,1.79,1.83,1.49,1.61,1.65
3,"Indirect, from electricity purchased and consumed (without energy trading) at manufacturing sites   (metric tons) (in millions)",3.6,3.8,3.8,3.76,3.76,3.73,3.75,3.88,3.91
4,"Indirect, from electricity purchased and consumed (without energy trading) at manufacturing sites   (using GHG protocol market-based method) 2  (metric tons) (in millions)",,,,3.44,3.35,3.88,3.28,3.56,3.33
5,"Total, from manufacturing sites (metric tons) (in millions)",5.55,5.58,5.45,5.54,5.55,5.56,5.24,5.49,5.56
6,"Total, from manufacturing sites (using GHG protocol market-based method) 2  (in millions)",,,,5.22,5.14,5.71,4.77,5.18,4.97
7,Emissions Ratio (gCO 2  /L),36.89,36.23,35.29,33.96,34.83,34.74,33.96,33.33,28.85
8,Business & Sustainability Report and CDP Manufacturing Emissions Reconciliation,,,,,,,,,
9,Reported Manufacturing Emissions in Business & Sustainability Report   (millions of MT CO 2 e)-TCCS Reporting Entity 3,,,,,,,,,
10,Scope 1 emissions per Business & Sustainability Report,,,,,,,,1.61,1.65
11,Scope 2 emissions per Business & Sustainability Report,,,,,,,,3.88,3.91
12,Total manufacturing emissions per Business & Sustainability Report,,,,,,,,5.49,5.56
13,"Reported Manufacturing Emissions in CDP (MT CO 2 e)-TCCC Reporting Entity 3, 4",,,,,,,,,
14,Scope 1-Manufacturing per CDP C7.3c,,,,,,,,"325,833","304,144"
15,Scope 2 (location-based)-Manufacturing per CDP C6.3,,,,,,,,"869,832","890,400"
16,Scope 3-Franchises per CDP C6.5,,,,,,,,"4,299,247","4,363,071"
17,Total manufacturing emissions per CDP,,,,,,,,"5,494,912","5,577,615"
18,Total manufacturing emissions per CDP (in millions),,,,,,,,5.49,5.56
19,Energy Use 5,,,,,,,,,
20,Total Energy Use (megajoules) (in millions),"61,764.0","61,037.4","61,558.7","59,070.9","61,464.0","62,419.9 11,758.9","58,888.1 10,985.2","63,735.8 12,731.5","65,389 10,680"
21,Percentage renewable (electricity),,,,,,15%,17%,12%,21%
22,,,0.41,,0.40,,0.39,0.38,,
23,Energy Use Ratio (megajoules per liter of product),0.42,,0.40,,0.39,,,0.39,0.38
