,,2020,2021,2022,2023,
0,Energy,,,,,
1,Natural gas purchased (GWh),"1,873","1,744","1,655","1,567",
2,Electricity used (GWh),"1,102","1,008",970,958,
3,Purchased renewable electricity (GWh),487,631,697,782,A
4,Purchased non-renewable electricity (GWh),605,372,263,163,
5,On-site renewably generated electricity (GWh),19,13,18,17,A
6,Exported electricity (GWh),9,8,8,4,
7,Coal (GWh),0,0,0,0,
8,Other fossil fuels (GWh),49,58,81,60,
9,Renewable heat (GWh),9,8,13,12,
10,Purchased heating and cooling (GWh),52,52,41,39,
11,Total energy for operations (GWh),"3,085","2,871","2,759","2,636",A
12,% renewable electricity,46%,63%,73%,83%,
13,Carbon: Scope 1 and 2 emissions,,,,,
14,On-site fuel use (thousands of tonnes CO 2 e),355,333,320,301,
15,Sales force vehicles (thousands of tonnes CO 2 e),60,52,51,46,
16,Propellant emissions during manufacture of inhalers (thousands of tonnes CO 2 e),275,237,243,220,
17,On-site waste or wastewater treatment (thousands of tonnes CO 2 e),0,0,0,0,
18,Refrigerant gas losses (thousands of tonnes CO 2 e),20,11,13,13,
19,Total Scope 1 emissions (thousands of tonnes CO 2 e),711,633,626,581,A
20,Electricity (market-based emissions) (thousands of tonnes CO 2 e),163,125,84,60,
21,Purchased heating and cooling (thousands of tonnes CO 2 e),6,6,4,4,
22,Total Scope 2 market-based emissions (thousands of tonnes CO 2 e),169,131,88,64,A
23,Total Scope 2 location-based emissions (thousands of tonnes CO 2 e),309,285,265,240,A
24,Total Scope 1 and 2 market-based emissions (thousands of tonnes CO 2 e),879,764,715,645,PR A
25,Fermentation/biogenic releases (thousands of tonnes CO 2 e),27,10,12,12,
26,Carbon: Scope 3 emissions 1,,,,,
27,Purchased goods and services (thousands of tonnes CO 2 e),"3,267","2,725","2,485",-,
28,Capital goods (thousands of tonnes CO 2 e),162,154,161,-,
29,Fuel and energy-related activities (thousands of tonnes CO 2 e),89,84,145,-,
30,Transportation and distribution (upstream) (thousands of tonnes CO 2 e),267,189,242,-,
31,Waste generated in operations (thousands of tonnes CO 2 e),20,64,51,-,
32,Business travel (thousands of tonnes CO 2 e),42,50,85,-,
33,Employee commuting (thousands of tonnes CO 2 e),37,48,60,-,
34,Leased assets (upstream) (thousands of tonnes CO 2 e),0,0,0,-,
35,Transportation and distribution (downstream) (thousands of tonnes CO 2 e),135,99,130,-,
36,Processing of sold products (thousands of tonnes CO 2 e),0,0,0,-,
