,Indicator,Units,2016,2019,2020,2021,2022,2023
0,Operated Basis,,,,,,,
1,GREENHOUSE GAS,,,,,,,
2,GHG emission intensity (Scope 1 + Scope 2)*,(metric tons CO₂e per 100 metric tons of throughput or production),26.4,25.6,25.0,24.4,23.4,23.3
3,Upstream*,(metric tons CO₂e per 100 metric tons of production),29.3,26.7,24.8,23.6,22.5,22.2
4,Downstream,(metric tons CO₂e per 100 metric tons of throughput),20.0,19.8,20.2,20.2,19.4,19.2
5,Chemical,(metric tons CO₂e per 100 metric tons of production),52.6,52.6,51.2,48.9,47.9,49.4
6,GHG emissions (Scope 1 + Scope 2),(million metric tons CO₂e),117,109,102,103,100,98
7,Upstream,(million metric tons CO₂e),53,47,44,43,40,38
8,Downstream,(million metric tons CO₂e),46,42,40,41,41,41
9,Chemical,(million metric tons CO₂e),19,19,19,19,19,20
10,Scope 1 GHG emissions 3,(million metric tons CO₂e),109,101,95,97,96,92
11,CO₂,(million metric tons CO₂),99,94,90,92,92,88
12,CH₄,(million metric tons CO₂e),9,7,5,5,4,3
13,Other gases,(million metric tons CO₂e),<1,<1,<1,<1,<1,<1
14,CO₂ Biogenic,(million metric tons CO₂),<0.1,<0.1,<0.1,<0.1,<0.1,0.2
15,Scope 2 GHG emissions (location-based) 4,(million metric tons CO₂e),8,8,7,7,7,7
16,Scope 2 GHG emissions (market-based) 5,(million metric tons CO₂e),8,8,7,7,4,6
17,"Energy attribute certificates (RECs, GOOs)",(million metric tons CO₂e),0,<1,<1,1,3,1
18,Net GHG (Excludes exported power and heat) 6,(million metric tons CO₂e),114,106,100,101,98,96
19,GHG Emissions from exported power and heat,(million metric tons CO₂e),3,2,2,2,2,2
20,CO₂ - captured for storage 7,(million metric tons CO₂),6,6,6,6,6,6
21,METHANE,,,,,,,
22,Methane (CH₄) Intensity*,(metric tons CH4 per 100 metric tons of throughput or production),0.07,0.05,0.04,0.04,0.03,0.02
23,Methane (CH₄),(million metric tons CH₄),0.30,0.22,0.16,0.16,0.14,0.10
