,Indicator.Operated Basis (continued),Units.Operated Basis (continued),2016.Operated Basis (continued),2019.Operated Basis (continued),2020.Operated Basis (continued),2021.Operated Basis (continued),2022.Operated Basis (continued),2023.Operated Basis (continued)
0,FLARING,,,,,,,
1,Hydrocarbon flaring Intensity*,(m³ per metric tons of throughput/production),12,10,8,7,6,5
2,Hydrocarbon flaring,(million standard cubic feet per day),530,430,320,280,250,220
3,Africa/Europe/Middle East,(million standard cubic feet per day),400,230,170,170,130,120
4,Americas,(million standard cubic feet per day),70,160,120,80,80,70
5,Asia Pacific,(million standard cubic feet per day),60,40,30,30,30,30
6,Scope 1 - Greenhouse gas emissions from flaring,(million metric tons CO₂e),16,12,10,8,7,6
7,ENERGY,,,,,,,
8,Energy use,(billion gigajoules),1.5,1.5,1.5,1.5,1.5,1.4
9,Upstream Energy Intensity,(gigajoules per metric tons production),2.4,2.5,2.5,2.4,2.1,2.2
10,Downstream Energy Intensity,(gigajoules per metric tons throughput),2.9,3.1,3.3,3.4,3.3,3.1
11,Chemical Energy Intensity,(gigajoules per metric tons product),10.3,10.2,11.3,10.0,11.1,10.5
12,Equity Basis,,,,,,,
13,GREENHOUSE GAS,,,,,,,
14,GHG emissions intensity (Scope 1 + Scope 2),(metric tons CO₂e per 100 metric tons of throughput or production),26.0,25.8,25.7,25.5,24.2,24.0
15,Upstream,(metric tons CO₂e per 100 metric tons production),26.6,25.7,24.9,24.6,22.9,22.4
16,Downstream,(metric tons CO₂e per 100 metric tons of throughput),20.2,19.8,20.3,20.6,19.9,19.6
17,Chemical,(metric tons CO₂e per 100 metric tons production),54.7,55.4,54.7,51.8,50.8,53.1
18,GHG emissions (Scope 1 + Scope 2),(million metric tons CO₂e),129,123,115,118,113,111
19,Upstream,(million metric tons CO₂e),59,56,52,52,49,46
20,Downstream,(million metric tons CO₂e),47,43,40,42,42,42
21,Chemical,(million metric tons CO₂e),22,24,23,23,23,23
22,Scope 1 GHG Emissions³,(million metric tons CO₂e),120,114,108,111,109,104
23,CO₂,(million metric tons CO₂),111,107,102,105,104,101
24,CH₄,(million metric tons CO₂e),9,7,6,5,5,3
25,Other gases,(million metric tons CO₂e),<1,<1,<1,<1,<1,<1
26,CO₂ Biogenic,(million metric tons CO₂),<0.1,<0.1,<0.1,<0.1,<0.1,0.1
27,Scope 2 GHG emissions (location-based)⁴,(million metric tons CO₂e),8,8,8,8,7,7
28,Scope 2 GHG emissions (market-based)⁵,(million metric tons CO₂e),8,8,7,7,4,7
29,"Energy attribute certificates (RECs, GOOs)",(million metric tons CO₂e),0,<1,<1,1,3,1
30,Net GHG (Excludes exported power and heat)⁶,(million metric tons CO₂e),125,120,112,115,110,108
31,GHG Emissions from exported power and heat,(million metric tons CO₂e),3,3,3,3,3,3
32,CO₂ - captured for storage⁷,(million metric tons CO₂),6,7,7,7,7,7
33,METHANE,,,,,,,
34,Methane (CH₄) intensity,(metric tons CH₄ per 100 metric tons of throughput or production),0.06,0.05,0.04,0.04,0.03,0.02
35,Methane (CH₄),(million metric tons CH₄),0.29,0.24,0.19,0.18,0.15,0.11
