,Metric,Unit,2019,2020,2021,2022,2023
0,GHG - Equity share  l w,,,,,,
1,Scope 1 (direct) greenhouse gas   emissions  n,MtCO2e,46.0,41.3,36.5,33.9,31.9
2,"Exploration, production and LNG  x",MtCO2e,-,-,17.7,15.9,14.8
3,Refining and chemicals,MtCO2e,-,-,17.5,16.3,15.7
4,Other  x,MtCO2e,-,-,-,1.7,1.5
5,Scope 1 (direct) carbon dioxide   emissions,MtCO2e,43.0,39.1,34.8,32.6,30.5
6,"Exploration, production and LNG  x",MtCO2e,-,-,16.0,14.6,13.5
7,Refining and chemicals,MtCO2e,-,-,17.5,16.2,15.6
8,Other  x,MtCO2e,-,-,-,1.7,1.4
9,Scope 1 (direct) methane emissions,Mt,0.12,0.09,0.07,0.05,0.05
10,"Exploration, production and LNG",Mt,-,-,0.07,0.05,0.05
11,Refining and chemicals,Mt,-,-,0.00,0.00,0.00
12,Other,Mt,-,-,-,0.00,0.00
13,Scope 2 (indirect) emissions  p,MtCO2e,5.7,4.2,2.6,1.6,1.5
14,"Exploration, production and LNG",MtCO2e,-,-,0.2,0.2,0.1
15,Refining and chemicals,MtCO2e,-,-,2.0,1.1,0.6
16,Other,MtCO2e,-,-,-,0.4,0.8
17,Greenhouse gas intensity (Scope 1 and 2),,,,,,
18,"Exploration, production and LNG  x y",tCO2e per thousand  boe of production,-,-,22.4,19.9,17.6
19,Refineries  z,tCO2e per utilized  equivalent  distillation capacity,-,-,"1,067","1,022","1,000"
20,Petrochemicals,tCO2e per thousand,-,-,688,653,741
