(mt),FY20,FY21,FY22,FY23
Scope 1,,,,
Scope 1 - CO2,"96,700","94,292","99,123","92,466"
Scope 1 - CH4,2,3,2,3
Scope 1 - N2O,1,1,1,1
Scope 1 - HFCs,19,27,37,49
Scope 1 - SF6,0,0,0,0
Scope 2 (location-based),,,,
Scope 2 - CO2,"4,305,119","4,984,442","6,349,431","8,034,943"
Scope 2 - CH4,283,330,382,515
Scope 2 - N2O,56,60,75,99
Scope 2 (market-based),,,,
Scope 2 - CO2,"454,034","427,606","286,992","390,884"
Scope 2 - CH4,19,18,10,23
Scope 2 - N2O,5,5,3,6
Scope 1,"118,100","123,704","139,413","144,960"
Scope 1 - CO2,"96,700","94,292","99,123","92,466"
Scope 1 - CH4,53,63,62,63
Scope 1 - N2O,236,150,209,292
Scope 1 - HFCs,"21,070","29,177","39,993","52,087"
Scope 1 - SF6,41,22,26,52
Scope 2 (location-based),"4,328,916","5,010,667","6,381,250","8,077,403"
Scope 2 - CO2,"4,305,119","4,984,442","6,349,431","8,034,943"
Scope 2 - CH4,"7,063","8,248","9,543","12,868"
Scope 2 - N2O,"16,734","17,977","22,276","29,592"
Scope 2 (market-based),"456,119","429,405","288,029","393,134"
Scope 2 - CO2,"454,034","427,606","286,992","390,884"
Scope 2 - CH4,483,456,243,571
Scope 2 - N2O,"1,602","1,343",794,"1,679"
,"118,100","123,704","139,413","144,960"
,"574,219","553,109","427,442","538,094"
,0.8,0.7,0.7,0.7
,30.3,29.8,32.2,38.1
,3.2,2.6,1.5,1.9
,31.1,30.5,32.9,38.8
,4.0,3.3,2.2,2.6
,"574,219","553,109","427,442","538,094"
