,Unnamed: 0,Unnamed: 1,FY20,FY21,FY22,FY23
0,0,Scope 1 + 2 1,"574,219","553,109","427,442","538,094"
1,1,Scope 3,,,,
2,2,Management's criteria 2,,,,
3,3,Category 4 - Upstream Transportation with SAFc,"243,000","225,000","371,000","305,000"
4,4,Category 6 - Business Travel with SAFc,"385,000","23,000","157,000","124,000"
5,5,Category 11 - Use of Sold Products 3,"2,600,000","2,622,000","1,332,000","2,158,000"
6,6,GHGP-aligned,,,,
7,7,"Rest of the categories 1,4","8,097,000","9,642,000","10,500,000","12,232,000"
8,8,Subtotal emissions,"11,325,000","12,512,000","12,360,000","14,819,000"
9,9,Total emissions (Scope 1 + 2 + 3) 1,"11,899,000","13,065,000","12,787,000","15,357,000"
