,o Energy: Direct (Million Therms) and Indirect (Million kilowatt hours (mkWh)),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,o Renewable Energy (mkWh),,Parameter,Quantity,Units,Boundary / Protocol
1,o Water Withdrawal (Million Gallons),,,,,
2,"o Greenhouse Gas (GHG) Emissions: Direct Scope 1 emissions by weight, Indirect Scope 2",,Natural Gas Consumption,"1,066,300",Metric million British,Worldwide occupied
3,"emissions by weight, Indirect Scope 3 emissions by weight (Purchased Goods and",,,,thermal unit,properties / Apple Internal
4,"Services, Fuel and Energy Related Activities, Employee Commute and Business Travel)",,,,,Protocol
5,(Metric Tonnes of Carbon Dioxide equivalent),,,,,
6,o Apple Comprehensive Carbon Footprint,,Electricity Consumption,"3,500",Million kilowatt,Worldwide occupied
7,o Waste Quantities and Disposition (Metric Tonnes),,,,hours (mkWh),properties / Apple Internal Protocol
8,o Paper Quantities (Metric Tonnes),,,,,
9,,,Renewable Energy,"3,500",Million kilowatt,Worldwide / Invoiced
10,,,,,hours (mkWh),quantities & self-generated
11,Excluded from the scope of our work is any assurance of information relating to:,,,,,
12,,,Scope 1 GHG Emissions,"55,200",Metric tonnes of,Worldwide occupied
13,▪ Text or other written statements associated with the Report,,,,carbon dioxide,properties / WRI/WBCSD
14,▪ Activities outside the defined assurance period,,,,equivalent (tCO2e),GHG Protocol
15,,,Scope 2 GHG Emissions,"1,206,700",tCO2e,Worldwide occupied
16,Assessment Standards,,(Location-Based),,,properties / WRI/WBCSD
17,,,,,,GHG Protocol
18,Our work was conducted against Apex’s standard procedures and guidelines for external Verification,,,,,
19,"of Sustainability Reports, based on current best practice in independent assurance. Apex procedures",,Scope 2 GHG Emissions,"3,400",tCO2e,Worldwide occupied
20,are based on principles and methods described in the International Standard on Assurance,,(Market-Based),,,properties / WRI/WBCSD
21,"Engagements (ISAE) 3000 Revised, Assurance Engagements Other than Audits or Reviews of",,,,,GHG Protocol
22,"Historical Financial Information (effective for assurance reports dated on or after Dec. 15, 2015), issued",,,,,
23,by the International Auditing and Assurance Standards Board and ISO 14064-3: Greenhouse gases --,,Scope 3 Transmission and Distribution Loses (Market-,0,tCO2e,Worldwide occupied properties / WRI/WBCSD
24,Part 3: Specification with guidance for the validation and verification of greenhouse gas statements.,,Based),,,GHG Protocol Value Chain
25,,,,,,(Scope 3)
26,Methodology,,,,,
27,,,Scope 3 GHG Emissions –,"18,300",tCO2e,Worldwide occupied
28,Apex undertook the following activities:,,Upstream Fuel-Related Activities,,,properties / WRI/WBCSD GHG Protocol Value Chain
29,,,,,,(Scope 3)
30,"1. Site visits to Apple facilities in Rialto, California and Battersea, United Kingdom;",,,,,
31,2. Interviews with relevant personnel of Apple;,,Scope 3 GHG Emissions –,"225,700",tCO2e,Worldwide occupied
32,3. Review of internal and external documentary evidence produced by Apple;,,Business Travel,,,properties / WRI/WBCSD
33,"4. Audit of environmental performance data presented in the Report, including a detailed review",,,,,GHG Protocol Value Chain (Scope 3)
34,of a sample of data against source data; and,,,,,
