company,year,scope1_value,scope1_unit,scope2_location_value,scope2_location_unit,scope2_market_value,scope2_market_unit
APPLE INC,2019,52730.0,metric tons CO2e,,,0.0,metric tons CO2e
APPLE INC,2020,47430.0,metric tons CO2e,,,0.0,metric tons CO2e
APPLE INC,2021,55200.0,metric tons CO2e,,,2780.0,metric tons CO2e
APPLE INC,2022,55200.0,metric tons CO2e,,,3000.0,metric tons CO2e
APPLE INC,2023,55200.0,metric tons CO2e,,,3400.0,metric tons CO2e
NVIDIA CORP,FY22,4612.0,MT CO2e,133569.0,MT CO2e,78210.0,MT CO2e
NVIDIA CORP,FY23,12346.0,MT CO2e,142909.0,MT CO2e,60671.0,MT CO2e
NVIDIA CORP,FY24,14390.0,MT CO2e,178087.0,MT CO2e,40555.0,MT CO2e
MICROSOFT CORP,FY20,118100.0,mtCO2e,4328916.0,mtCO2e,456119.0,mtCO2e
MICROSOFT CORP,FY21,123704.0,mtCO2e,5010667.0,mtCO2e,429405.0,mtCO2e
MICROSOFT CORP,FY22,139413.0,mtCO2e,6381250.0,mtCO2e,288029.0,mtCO2e
MICROSOFT CORP,FY23,144960.0,mtCO2e,8077403.0,mtCO2e,393134.0,mtCO2e
AMAZON COM INC,2019,5.76,MMT CO2e,,,5.5,MMT CO2e
AMAZON COM INC,2020,9.62,MMT CO2e,,,5.27,MMT CO2e
AMAZON COM INC,2021,12.11,MMT CO2e,,,4.07,MMT CO2e
AMAZON COM INC,2022,13.32,MMT CO2e,,,3.14,MMT CO2e
AMAZON COM INC,2023,14.27,MMT CO2e,,,2.79,MMT CO2e
META PLATFORMS INC CLASS A,2019,44000.0,metric tons CO2e,6295000.0,metric tons CO2e,208000.0,metric tons CO2e
META PLATFORMS INC CLASS A,2020,29000.0,metric tons CO2e,8559000.0,metric tons CO2e,9000.0,metric tons CO2e
META PLATFORMS INC CLASS A,2021,55173.0,metric tons CO2e,10163476.0,metric tons CO2e,2487.0,metric tons CO2e
META PLATFORMS INC CLASS A,2022,66934.0,metric tons CO2e,14007222.0,metric tons CO2e,273.0,metric tons CO2e
META PLATFORMS INC CLASS A,2023,48952.0,metric tons CO2e,14067104.0,metric tons CO2e,1658.0,metric tons CO2e
