Industry,Company Name,Symbol,Country,Sector,ISIN Number
Consumer Electronics,Apple Inc.,AAPL,United States,Technology,US0378331005
Software - Infrastructure,Microsoft Corporation,MSFT,United States,Technology,US5949181045
Semiconductors,NVIDIA Corporation,NVDA,United States,Technology,US67066G1040
Internet Retail,"Amazon.com, Inc.",AMZN,United States,Consumer Discretionary,US0231351067
Internet Content & Information,Alphabet Inc.,GOOG,United States,Communication Services,US02079K1079
Internet Content & Information,Alphabet Inc.,GOOGL,United States,Communication Services,US02079K3059
Internet Content & Information,"Meta Platforms, Inc.",META,United States,Communication Services,US30303M1027
Auto Manufacturers,"Tesla, Inc.",TSLA,United States,Consumer Discretionary,US88160R1014
Insurance - Diversified,Berkshire Hathaway Inc.,BRK.A,United States,Financials,US0846701086
Insurance - Diversified,Berkshire Hathaway Inc.,BRK.B,United States,Financials,US0846707026
Semiconductors,Broadcom Inc.,AVGO,United States,Technology,US11135F1012
Semiconductors,Taiwan Semiconductor Manufacturing Company Limited,TSM,Taiwan,Technology,US8740391003
Discount Stores,Walmart Inc.,WMT,United States,Consumer Staples,US9311421039
Banks - Diversified,JPMorgan Chase & Co.,JPM,United States,Financials,US46625H1005
Drug Manufacturers - General,Eli Lilly and Company,LLY,United States,Healthcare,US5324571083
Credit Services,Visa Inc.,V,United States,Financials,US92826C8394
Credit Services,Mastercard Incorporated,MA,United States,Financials,US57636Q1040
Healthcare Plans,UnitedHealth Group Incorporated,UNH,United States,Healthcare,US91324P1021
Oil & Gas Integrated,Exxon Mobil Corporation,XOM,United States,Energy,US30231G1022
Software - Infrastructure,Oracle Corporation,ORCL,United States,Technology,US68389X1054
Discount Stores,Costco Wholesale Corporation,COST,United States,Consumer Staples,US22160K1051
Home Improvement Retail,"The Home Depot, Inc.",HD,United States,Consumer Discretionary,US4370761029
Entertainment,"Netflix, Inc.",NFLX,United States,Communication Services,US64110L1061
Household & Personal Products,The Procter & Gamble Company,PG,United States,Consumer Staples,US7427181091
Drug Manufacturers - General,Novo Nordisk A/S,NVO,Denmark,Healthcare,US6701002056
Drug Manufacturers - General,Johnson & Johnson,JNJ,United States,Healthcare,US4781601046
Banks - Diversified,Bank of America Corporation,BAC,United States,Financials,US0605051046
Software - Application,"Salesforce, Inc.",CRM,United States,Technology,US79466L3024
Software - Application,SAP SE,SAP,Germany,Technology,US8030542042
Drug Manufacturers - General,AbbVie Inc.,ABBV,United States,Healthcare,US00287Y1091
Oil & Gas Integrated,Chevron Corporation,CVX,United States,Energy,US1667641005
Beverages - Non-Alcoholic,The Coca-Cola Company,KO,United States,Consumer Staples,US1912161007
Semiconductor Equipment & Materials,ASML Holding N.V.,ASML,Netherlands,Technology,USN 70592100.00
Telecom Services,"T-Mobile US, Inc.",TMUS,United States,Communication Services,US8725901040
Banks - Diversified,Wells Fargo & Company,WFC,United States,Financials,US9497461015
Auto Manufacturers,Toyota Motor Corporation,TM,Japan,Consumer Discretionary,US8923313071
Drug Manufacturers - General,"Merck & Co., Inc.",MRK,United States,Healthcare,US58933Y1055
Software - Application,"ServiceNow, Inc.",NOW,United States,Technology,US81762P1021
Communication Equipment,"Cisco Systems, Inc.",CSCO,United States,Technology,US17275R1023
Information Technology Services,Accenture plc,ACN,Ireland,Technology,IE00B4BNMY34
Asset Management,Blackstone Inc.,BX,United States,Financials,US09260D1072
Diagnostics & Research,Thermo Fisher Scientific Inc.,TMO,United States,Healthcare,US8835561023
Capital Markets,Morgan Stanley,MS,United States,Financials,US6174464486
Credit Services,American Express Company,AXP,United States,Financials,US0258161092
Medical Devices,Abbott Laboratories,ABT,United States,Healthcare,US0028241000
Internet Retail,Alibaba Group Holding Limited,BABA,China,Consumer Discretionary,US01609W1027
Capital Markets,"The Goldman Sachs Group, Inc.",GS,United States,Financials,US38141G1040
Drug Manufacturers - General,AstraZeneca PLC,AZN,United Kingdom,Healthcare,US0463531089
Aerospace & Defense,General Electric Company,GE,United States,Industrials,US3696043013
Information Technology Services,International Business Machines Corporation,IBM,United States,Technology,US4592001014
Restaurants,McDonald's Corporation,MCD,United States,Consumer Discretionary,US5801351017
Beverages - Non-Alcoholic,"PepsiCo, Inc.",PEP,United States,Consumer Staples,US7134481081
Specialty Chemicals,Linde plc,LIN,United Kingdom,Materials,IE000S9YS762
Medical Instruments & Supplies,"Intuitive Surgical, Inc.",ISRG,United States,Healthcare,US46120E6023
Drug Manufacturers - General,Novartis AG,NVS,Switzerland,Healthcare,US66987V1098
Entertainment,The Walt Disney Company,DIS,United States,Communication Services,US2546871060
Tobacco,Philip Morris International Inc.,PM,United States,Consumer Staples,US7181721090
Oil & Gas Integrated,Shell plc,SHEL,United Kingdom,Energy,US7802593050
Software - Infrastructure,Adobe Inc.,ADBE,United States,Technology,US00724F1012
Semiconductors,QUALCOMM Incorporated,QCOM,United States,Technology,US7475251036
Farm & Heavy Construction Machinery,Caterpillar Inc.,CAT,United States,Industrials,US1491231015
Semiconductors,"Advanced Micro Devices, Inc.",AMD,United States,Technology,US0079031078
Software - Infrastructure,Palantir Technologies Inc.,PLTR,United States,Technology,US69608A1088
Banks - Diversified,HSBC Holdings plc,HSBC,United Kingdom,Financials,US4042804066
Diagnostics & Research,Danaher Corporation,DHR,United States,Healthcare,US2358511028
Telecom Services,AT&T Inc.,T,United States,Communication Services,US00206R1023
Banks - Diversified,Royal Bank of Canada,RY,Canada,Financials,CA7800871021
Aerospace & Defense,RTX Corporation,RTX,United States,Industrials,US75513E1010
Telecom Services,Verizon Communications Inc.,VZ,United States,Communication Services,US92343V1044
Software - Application,Intuit Inc.,INTU,United States,Technology,US4612021034
Semiconductors,Texas Instruments Incorporated,TXN,United States,Technology,US8825081040
Asset Management,"BlackRock, Inc.",BLK,United States,Financials,US09247X1019
Financial Data & Stock Exchanges,S&P Global Inc.,SPGI,United States,Financials,US78409V1044
Semiconductors,Arm Holdings plc,ARM,United Kingdom,Technology,US0420682058
Internet Retail,PDD Holdings Inc.,PDD,Ireland,Consumer Discretionary,US7223041028
Travel Services,Booking Holdings Inc.,BKNG,United States,Consumer Discretionary,US09857L1089
Software - Application,Shopify Inc.,SHOP,Canada,Technology,CA82509L1076
Drug Manufacturers - General,Pfizer Inc.,PFE,United States,Healthcare,US7170811035
Railroads,Union Pacific Corporation,UNP,United States,Industrials,US9078181081
Medical Devices,Boston Scientific Corporation,BSX,United States,Healthcare,US1011371077
Drug Manufacturers - General,Amgen Inc.,AMGN,United States,Healthcare,US0311621009
Medical Devices,Stryker Corporation,SYK,United States,Healthcare,US8636671013
Banks - Diversified,Citigroup Inc.,C,United States,Financials,US1729674242
Household & Personal Products,Unilever PLC,UL,United Kingdom,Consumer Staples,US9047677045
Capital Markets,The Charles Schwab Corporation,SCHW,United States,Financials,US8085131055
Home Improvement Retail,"Lowe's Companies, Inc.",LOW,United States,Consumer Discretionary,US5486611073
Asset Management,KKR & Co. Inc.,KKR,United States,Financials,US48251W1045
Banks - Regional,HDFC Bank Limited,HDB,India,Financials,US40415F1012
Banks - Diversified,"Mitsubishi UFJ Financial Group, Inc.",MUFG,Japan,Financials,US6068221042
Utilities - Regulated Electric,"NextEra Energy, Inc.",NEE,United States,Utilities,US65339F1012
Telecom Services,Comcast Corporation,CMCSA,United States,Communication Services,US20030N1019
Insurance - Property & Casualty,The Progressive Corporation,PGR,United States,Financials,US7433151039
Conglomerates,Honeywell International Inc.,HON,United States,Industrials,US4385161066
Software - Application,"Uber Technologies, Inc.",UBER,United States,Technology,US90353T1007
Semiconductor Equipment & Materials,"Applied Materials, Inc.",AMAT,United States,Technology,US0382221051
Apparel Retail,"The TJX Companies, Inc.",TJX,United States,Consumer Discretionary,US8725401090
Consumer Electronics,Sony Group Corporation,SONY,Japan,Technology,US8356993076
Computer Hardware,Arista Networks Inc,ANET,United States,Technology,US0404131064
Aerospace & Defense,The Boeing Company,BA,United States,Industrials,US0970231058
Drug Manufacturers - General,Sanofi,SNY,France,Healthcare,US80105N1054
Oil & Gas Exploration & Production,ConocoPhillips,COP,United States,Energy,US20825C1045
Oil & Gas Integrated,TotalEnergies SE,TTE,France,Energy,US89151E1091
Farm & Heavy Construction Machinery,Deere & Company,DE,United States,Industrials,US2441991054
Software - Infrastructure,"Palo Alto Networks, Inc.",PANW,United States,Technology,US6974351057
Other Industrial Metals & Mining,BHP Group Limited,BHP,Australia,Materials,US0886061086
Specialty Industrial Machinery,Eaton Corporation plc,ETN,Ireland,Industrials,IE00B8KQN827
Software - Application,"Automatic Data Processing, Inc.",ADP,United States,Technology,US0530151036
Software - Application,AppLovin Corporation,APP,United States,Technology,US03831W1080
Information Technology Services,"Fiserv, Inc.",FI,United States,Technology,US3377381088
Drug Manufacturers - General,Bristol-Myers Squibb Company,BMY,United States,Healthcare,US1101221083
Medical Devices,Medtronic plc,MDT,Ireland,Healthcare,IE00BTN1Y115
Drug Manufacturers - General,"Gilead Sciences, Inc.",GILD,United States,Healthcare,US3755581036
Integrated Freight & Logistics,"United Parcel Service, Inc.",UPS,United States,Industrials,US9113121068
Restaurants,Starbucks Corporation,SBUX,United States,Consumer Discretionary,US8552441094
Biotechnology,Vertex Pharmaceuticals Incorporated,VRTX,United States,Healthcare,US92532F1003
REIT - Industrial,"Prologis, Inc.",PLD,United States,Real Estate,US74340W1036
Banks - Diversified,UBS Group AG,UBS,Switzerland,Financials,CH0244767585
Footwear & Accessories,"NIKE, Inc.",NKE,United States,Consumer Discretionary,US6541061031
Insurance - Property & Casualty,Chubb Limited,CB,Switzerland,Financials,CH0044328745
Insurance Brokers,"Marsh & McLennan Companies, Inc.",MMC,United States,Financials,US5717481023
Aerospace & Defense,Lockheed Martin Corporation,LMT,United States,Industrials,US5398301094
Internet Content & Information,Spotify Technology S.A.,SPOT,Luxembourg,Communication Services,LU1778762911
Semiconductors,"Analog Devices, Inc.",ADI,United States,Technology,US0326541051
Other Industrial Metals & Mining,Rio Tinto Group,RIO,United Kingdom,Materials,US7672041008
Banks - Regional,ICICI Bank Limited,IBN,India,Financials,US45104G1040
Software - Infrastructure,"CrowdStrike Holdings, Inc.",CRWD,United States,Technology,US22788C1053
Banks - Diversified,The Toronto-Dominion Bank,TD,Canada,Financials,CA8911605092
Semiconductors,"Micron Technology, Inc.",MU,United States,Technology,US5951121038
Utilities - Renewable,GE Vernova Inc.,GEV,United States,Utilities,US36828A1016
Beverages - Brewers,Anheuser-Busch InBev SA/NV,BUD,Belgium,Consumer Staples,US03524A1088
Banks - Diversified,"Sumitomo Mitsui Financial Group, Inc.",SMFG,Japan,Financials,US86562M2098
Oil & Gas Midstream,Enbridge Inc.,ENB,Canada,Energy,CA29250N1050
